country	Median_2010	Poverty_line_2010	Middle_income_lower_threshold_2010	Middle_income_upper_threshold_2010	Median_NC	Poverty_line_NC	Middle_income_lower_threshold_NC	Middle_income_upper_threshold_NC	PPPs_2010	CPI_change_2010-18
AUS	45117.7350857357	13024.3682484879	19536.5523727318	52097.4729939514	82447.9325981775	23800.668039843	35701.0020597644	95202.6721593718	1.552425	1.1771230181806
AUT	47763.810760332	13788.2245	20682.33675	55152.898	47590.9205391549	13738.3153921316	20607.4730881974	54953.2615685264	0.856896	1.16277857442324
BEL	43152.9564106206	12457.1855	18685.77825	49828.742	44559.3212366712	12863.1680554496	19294.7520831743	51452.6722217982	0.894392	1.15451639906466
BRA	11472.1124306337	3311.7136	4967.5704	13246.8544	29707.0149180395	8575.67652987516	12863.5147948127	34302.7061195006	1.604659	1.61373739677419
CAN	50782.6575384696	14659.6905	21989.53575	58638.762	75335.4366475548	21747.4673139919	32621.2009709878	86989.8692559675	1.295341	1.14524861003073
CHE	56959.6131758258	16442.824	24664.236	65771.296	89421.0755262336	25813.6410131484	38720.4615197226	103254.564052594	1.582772	0.991869415868285
CHL	14191.5835797574	4096.7573	6145.13595	16387.0292	6766949.57717568	1953450.0799875	2930175.11998125	7813800.31995	371.362749	1.28399621400158
CHN	11229.4469163408	3241.6621	4862.49315	12966.6484	49379.5999402248	14254.6626589824	21381.9939884736	57018.6506359296	3.61745	1.21558872591017
CZE	23670.956314236	6833.2165	10249.82475	27332.866	397481.630034184	114743.063049084	172114.594573625	458972.252196335	14.827288	1.13250345341324
DEU	41247.2432608817	11907.0535	17860.58025	47628.214	39173.2514846464	11308.3436448468	16962.5154672701	45233.374579387	0.852586	1.11392639703278
DNK	45575.2467855138	13156.4405	19734.66075	52625.762	418544.477940008	120823.383503248	181235.075254871	483293.53401299	8.38554	1.0951700349908
ESP	29815.6611655553	8607.04	12910.56	34428.16	26314.7685632192	7596.41935681866	11394.629035228	30385.6774272746	0.800959	1.10190670255268
EST	19995.2483198867	5772.131	8658.1965	23088.524	14012.5246858061	4045.06744968821	6067.60117453232	16180.2697987528	0.586817	1.19422704426521
FIN	41618.6850206664	12014.2795	18021.41925	48057.118	45307.6613027742	13079.1952247545	19618.7928371318	52316.7808990181	0.979052	1.11193021629962
FRA	38190.9078027468	11024.765450256	16537.148175384	44099.0618010241	37311.0695517882	10770.7780247389	16156.1670371083	43083.1120989555	0.897594	1.08842316422953
GBR	36617.7399201252	10570.631	15855.9465	42282.524	33518.845210226	9676.05715252471	14514.0857287871	38704.2286100988	0.778066	1.17647058823529
GRC	18230.0581842166	5262.5645	7893.84675	21050.258	14534.7005244086	4195.80663017894	6293.70994526841	16783.2265207157	0.784026	1.01692182472298
HUN	20108.1641761337	5804.727	8707.0905	23218.908	3385960.41688685	977442.579077521	1466163.86861628	3909770.31631008	143.050087	1.17712159735939
IRL	39497.1149218393	11401.8349661688	17102.7524492531	45607.3398646751	40288.7829135105	11630.3698302189	17445.5547453283	46521.4793208754	0.966017	1.05592726797515
ISL	40980.0276584423	11829.915	17744.8725	47319.66	7254736.44209257	2094262.01887097	3141393.02830645	8377048.07548387	141.365866	1.2522897744307
ISR	32351.2345914666	9338.997	14008.4955	37355.988	151121.231982588	43624.9419827074	65437.4129740611	174499.76793083	4.355322	1.07254212254063
ITA	28188.0582178352	8137.1915	12205.78725	32548.766	25378.6878927605	7326.19614328238	10989.2942149236	29304.7845731295	0.818847	1.0995152132581
KOR	36148.7092216896	10435.2335	15652.85025	41740.934	37626425.643193	10861813.4868705	16292720.2303057	43447253.9474819	907.319354	1.14720226246208
LTU	20917.6467813051	6038.4045	9057.60675	24153.618	12497.7498743396	3607.7896271073	5411.68444066095	14431.1585084292	0.516482	1.15681473806631
LUX	61158.6533934788	17654.9825	26482.47375	70619.93	67655.3746668149	19530.4243880053	29295.6365820079	78121.6975520211	0.97796	1.13115806715807
LVA	21268.3524288216	6139.6445	9209.46675	24558.578	13686.3584479436	3950.91136707296	5926.36705060944	15803.6454682919	0.566162	1.13661490029945
MEX	8676.92242879102	2504.81175	3757.217625	10019.247	104762.0486349	30242.1984901082	45363.2977351624	120968.793960433	8.840193	1.36576670426909
NLD	41121.3889851021	11870.7225	17806.08375	47482.89	40925.3182452222	11814.1217527751	17721.1826291626	47256.4870111003	0.881239	1.12935526431294
NOR	60977.9242840138	17602.8105	26404.21575	70411.242	700971.869735009	202353.148842931	303529.723264397	809412.595371726	9.765304	1.17717813131199
POL	22913.5963952434	6614.58552344812	9921.87828517217	26458.3420937925	49877.0932163376	14398.2765974243	21597.4148961364	57593.1063896971	1.950046	1.11625397933438
PRT	22241.0184687773	6420.429	9630.6435	25681.716	17168.9417842382	4956.24658041548	7434.36987062321	19824.9863216619	0.700171	1.10251558754846
RUS	19011.9492200234	5488.277	8232.4155	21953.108	549626.238926863	158663.428499053	237995.142748579	634653.713996212	16.709521	1.730122330183
SVK	21799.5533589441	6292.989	9439.4835	25171.956	13913.2074494892	4016.39703312684	6024.59554969026	16065.5881325074	0.568099	1.12345489327337
SVN	30597.9015908294	8832.85336005153	13249.2800400773	35331.4134402061	23358.8079858315	6743.10703928431	10114.6605589265	26972.4281571372	0.698651	1.09269447755264
SWE	45342.8402081542	13089.3505	19634.02575	52357.402	450413.479605913	130023.171848555	195034.757772832	520092.68739422	9.149224	1.08572140119872
USA	54076.330550295	15610.492	23415.738	62441.968	62272.8146303007	17976.6131449999	26964.9197174998	71906.4525799995	1	1.15157249015597
ZAF	6015.96809658578	1736.6604	2604.9906	6946.6416	45716.9884890816	13197.3578053551	19796.0367080327	52789.4312214206	4.978793	1.52632852151523
